name,city,state,owner_name,owner_credential,services,google_review_count,google_star_rating,phone,website,instagram_handle,email,gbp_url,address,top_competitor_1_name,top_competitor_1_reviews,top_competitor_2_name,top_competitor_2_reviews,top_competitor_3_name,top_competitor_3_reviews
Rejuvenate Austin,Austin,TX,Dr. Jessica Wright,MD,"Botox, filler, Kybella, CoolSculpting, laser, microneedling, HydraFacial",441,4.7,(512) 923-1071,rejuvenateaustin.com,@rejuvenateaustin,,https://maps.google.com/?q=Rejuvenate+Austin+1301+W+5th+St,"1301 W 5th St #100, Austin, TX 78703",Aesthetica Med Spa,98,Banyan & Bamboo,322,Pure MedSpa,101
Aesthetica Med Spa,Austin,TX,Dr. David L. Sneed,MD,"Botox, filler, IPL, HydraFacial, microneedling, IV therapy, weight loss",98,4.8,(512) 899-2639,amedspa.com,@aestheticamedspa,,https://maps.google.com/?q=Aesthetica+Med+Spa+500+N+Capital,"500 N Capital of Texas Hwy Bldg 6 Ste 100, Austin, TX 78746",Rejuvenate Austin,441,Banyan & Bamboo,322,Pure MedSpa,101
Banyan & Bamboo Day Spa + Med Spa,Austin,TX,Jennifer Rushing,unknown,"Botox, Dysport, Sculptra, filler, microneedling, HydraFacial, massage",322,4.8,(512) 890-1130,banyanandbamboo.com,@banyanandbamboospa,,https://maps.google.com/?q=Banyan+Bamboo+3005+S+Lamar,"3005 S Lamar Blvd Ste D-112, Austin, TX 78704",Rejuvenate Austin,441,Aesthetica Med Spa,98,Pure MedSpa,101
Pure MedSpa,Austin,TX,Christina D'Amato,Esthetician,"Botox, filler, PDO threads, microblading, microneedling",101,5.0,(512) 516-0218,apuremedspa.com,@apuremedspa,,https://maps.google.com/?q=Pure+MedSpa+3801+N+Capital,"3801 N Capital of Texas Hwy D-200 #45, Austin, TX 78746",Aesthetica Med Spa,98,Rejuvenate Austin,441,Glo Med Spa Austin,66
Maui MedSpa,Austin,TX,Dr. Winston A. Turnage,MD,"Botox, Dysport, filler, Sculptra, PDO threads, HydraFacial, laser, weight loss",100,4.7,(737) 240-2212,mauimedspa.com,@maui_medspa,,https://maps.google.com/?q=Maui+MedSpa+10526+W+Parmer,"10526 W Parmer Ln Ste 425, Austin, TX 78717",Glo Med Spa Austin,66,AustinMD Aesthetics,658,Auveau Aesthetics,233
Glo Med Spa Austin,Austin,TX,Sherry Salehi,unknown,"Botox, filler, IPL, microneedling, chemical peels, PRP, laser, RF microneedling",66,4.7,(512) 336-7546,glomedspaaustin.com,@glomedspaatx,info.glomedspaaustin@gmail.com,https://maps.google.com/?q=Glo+Med+Spa+9801+Anderson+Mill,"9801 Anderson Mill Rd Ste 120, Austin, TX 78750",Maui MedSpa,100,AustinMD Aesthetics,658,Auveau Aesthetics,233
Auveau Aesthetics + Wellness,West Lake Hills,TX,Chrissy Gray Lim,PA,"Botox, Dysport, filler, RF microneedling, Pelleve, laser, biostimulators",233,5.0,(512) 708-7116,auveau.com,@auveau_medspa,,https://maps.google.com/?q=Auveau+Medspa+4238+Bee+Caves,"4238 Bee Caves Rd, West Lake Hills, TX 78746",Aesthetica Med Spa,98,Rejuvenate Austin,441,Banyan & Bamboo,322
AUSTEX Wellness and Medical Spa,Lakeway,TX,Laurel Belfiore,unknown,"Botox, Daxxify, filler, HydraFacial, IPL, RF microneedling, Halo laser, weight loss",210,4.8,(512) 308-6209,austexwellness.com,@austex_wellness,,https://maps.google.com/?q=Austex+Wellness+2009+Main+Lakeway,"2009 Main St #200, Lakeway, TX 78734",Auveau Aesthetics,233,Body Tonic Med Spa,139,BEAUX MedSpa,782
AustinMD Aesthetics & Wellness,Cedar Park,TX,Dr. Kausik Roy,MD,"Botox, filler, IV vitamins, hormone therapy, PRP, hair restoration, weight loss",658,5.0,(512) 593-5605,austinmdclinic.com,@austinmdclinic,,https://maps.google.com/?q=AustinMD+13625+Ronald+Reagan,"13625 Ronald Reagan Blvd Building 10 Ste 200, Cedar Park, TX 78613",Auveau Aesthetics,233,Vibrant Med Spa,104,ABL Medical Spa,100
Vibrant Med Spa,Round Rock,TX,Heidi Arambula,RN,"Botox, filler, PDO threads, Morpheus8, IPL, miraDry, GLP-1 weight loss, laser",104,5.0,(512) 716-3900,vibrantmedspa.com,@vibrantmedspa,,https://maps.google.com/?q=Vibrant+Med+Spa+1101+Satellite,"1101 Satellite View Ste 502, Round Rock, TX 78665",Chan Ramos MedSpa,102,ABL Medical Spa,100,AustinMD Aesthetics,658
