name,city,state,owner_name,owner_credential,services,google_review_count,google_star_rating,phone,website,instagram_handle,email,gbp_url,address,top_competitor_1_name,top_competitor_1_reviews,top_competitor_2_name,top_competitor_2_reviews,top_competitor_3_name,top_competitor_3_reviews
Monaco MedSpa,Miami,FL,Dr. Jeannette Barrueta,MD,"Botox, fillers, RF microneedling, body contouring",137,5.0,(305) 351-7546,monacomedspa.com,@monacomedspa,info@monacomedspa.com,https://maps.google.com/?cid=monaco-medspa-miami,"2930 NE 2nd Ct, Miami, FL 33137",No Filter Medical Spa,199,Brickell Cosmetic Center,417,Miami Skin Spa,113
No Filter Medical Spa,Miami,FL,Undisclosed (owner-operated),NP-led,"Botox, fillers, Sculptra, Morpheus8, Hydrafacial",199,4.9,(305) 619-2651,nofiltermedspa.com,@nofiltermedicalspa,info@nofiltermedspa.com,https://maps.google.com/?q=no+filter+medical+spa,"829 SW 1st Ave, Miami, FL 33130",Monaco MedSpa,137,Solea Brickell Spa,289,Miami Skin Spa,113
Miami Skin Spa,Miami (Brickell),FL,Undisclosed,Aesthetician/NP-led,"Botox, fillers, Morpheus8, custom facials, lasers",113,4.8,(305) 503-9090,miamiskinspa.com,@miamiskinspa,info@miamiskinspa.com,https://maps.google.com/?q=miami+skin+spa+brickell,"1501 S Miami Ave UNIT 201, Miami, FL 33129",No Filter Medical Spa,199,Solea Brickell Spa,289,Monaco MedSpa,137
Solea Brickell Spa,Miami (Brickell),FL,Undisclosed (APRN-led),APRN,"Botox, fillers, facials, peels, microneedling, IV",289,4.4,(786) 422-4622,soleabrickellspa.com,@soleabrickellspa,info@soleabrickellspa.com,https://maps.google.com/?q=solea+brickell+spa,"701 S Miami Ave Level 3, Miami, FL 33131",No Filter Medical Spa,199,Miami Skin Spa,113,Monaco MedSpa,137
Smith & Co Botox Specialist,Miami Beach,FL,Danielle Smith,MSN NP-C,"Botox, Dysport, fillers (Juvederm, Restylane)",86,4.9,(305) 615-1898,smithandco.co,@smithand_co,info@smithandco.co,https://maps.google.com/?q=smith+co+botox+miami+beach,"1410 20th St, Miami Beach, FL 33139",Monaco MedSpa,137,No Filter Medical Spa,199,Diamond Med Spa,44
Azala Skin Clinic,Coconut Grove,FL,Paula Brezavscek,PA-C,"Botox, fillers, lasers, microneedling, facials",626,4.9,(786) 949-5512,azalaskinclinic.com,@azalaskinclinic,info@azalaskinclinic.com,https://maps.google.com/?q=azala+skin+clinic+coconut+grove,"3444 Main Hwy Unit 23, Coconut Grove, FL 33133",ILU Collective,175,Plenitude MedSpa,,Pok Aesthetic Bar,
ILU Collective,Coral Gables,FL,Rudy Hernandez,Physician-supervised owner,"Botox, fillers, lasers, IV, body contouring, HRT",175,5.0,(786) 401-3633,ilucollective.com,@ilucollective,info@ilucollective.com,https://maps.google.com/?q=ilu+collective+coral+gables,"135 Madeira Ave, Coral Gables, FL 33134",Azala Skin Clinic,626,The Aesthetics MD,,CoCo Medical Spa,
The Aesthetics MD & Wellness,Coral Gables,FL,Dr. Rene Garcia,MD,"Botox, Sculptra, HydraFacial, weight loss",,4.8,(305) 444-5040,theaestheticsmd.com,@theaestheticsmd,info@theaestheticsmd.com,https://maps.google.com/?q=the+aesthetics+md+coral+gables,"747 Ponce de Leon Blvd, Coral Gables, FL 33134",ILU Collective,175,Azala Skin Clinic,626,Plenitude MedSpa,
Plenitude MedSpa,Coral Gables,FL,Dr. Brad Herman / Mirella Besteiro,MD/Spa Director,"Botox, fillers, lasers, HRT, IV",,4.9,(786) 408-5990,plenitudemedspa.com,@plenitudemedspa,info@plenitudemedspa.com,https://maps.google.com/?q=plenitude+medspa+coral+gables,"343 Aragon Ave, Coral Gables, FL 33134",ILU Collective,175,Azala Skin Clinic,626,The Aesthetics MD,
CoCo Medical Spa,Hialeah,FL,Dr. Madelyn Mitjans,ARNP,"Botox, fillers, Kybella, PRP, PDO threads",,4.9,(305) 231-7599,cocomedicalspa.com,@cocomedspa,info@cocomedicalspa.com,https://maps.google.com/?q=coco+medical+spa+hialeah,"3115 W 4th Ave, Hialeah, FL 33012",Azala Skin Clinic,626,Aguilar Aesthetics,,FaceBeauty Med Spa,
